"filename", "language", "YAML", "Dart", "Java Properties", "Markdown", "XML", "Groovy", "JSON", "Swift", "C++", "Java", "comment", "blank", "total"
"d:\FlutterApp\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\FlutterApp\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\FlutterApp\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 5, 13, 72
"d:\FlutterApp\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 39
"d:\FlutterApp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 1, 9
"d:\FlutterApp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 2, 38
"d:\FlutterApp\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 4, 26
"d:\FlutterApp\android\app\src\main\res\drawable-night-v21\launch_background.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\FlutterApp\android\app\src\main\res\drawable-night\launch_background.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\FlutterApp\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\FlutterApp\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\FlutterApp\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 9, 1, 23
"d:\FlutterApp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 9, 1, 23
"d:\FlutterApp\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 1, 9
"d:\FlutterApp\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"d:\FlutterApp\android\gradle.properties", "Java Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\FlutterApp\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
