Date : 2023-05-22 08:42:09
Directory : d:\FlutterApp
Total : 92 files,  4761 codes, 192 comments, 449 blanks, all 5402 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         58 |      4,161 |         54 |        379 |      4,594 |
| JSON            |          6 |        213 |          0 |          3 |        216 |
| XML             |         15 |        201 |         34 |         12 |        247 |
| Groovy          |          3 |         89 |          5 |         22 |        116 |
| YAML            |          2 |         58 |         83 |         21 |        162 |
| Java            |          1 |         13 |          9 |          4 |         26 |
| Swift           |          1 |         12 |          0 |          2 |         14 |
| Java Properties |          3 |          9 |          7 |          3 |         19 |
| Markdown        |          2 |          4 |          0 |          2 |          6 |
| C++             |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         92 |      4,761 |        192 |        449 |      5,402 |
| . (Files)                                                                                |          4 |         60 |         90 |         22 |        172 |
| android                                                                                  |         16 |        243 |         46 |         38 |        327 |
| android (Files)                                                                          |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                              |         12 |        200 |         46 |         27 |        273 |
| android\app (Files)                                                                      |          2 |         93 |          5 |         13 |        111 |
| android\app\src                                                                          |         10 |        107 |         41 |         14 |        162 |
| android\app\src\debug                                                                    |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                     |          8 |         99 |         33 |         12 |        144 |
| android\app\src\main (Files)                                                             |          1 |         30 |          6 |          2 |         38 |
| android\app\src\main\java                                                                |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io                                                             |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io\flutter                                                     |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io\flutter\app                                                 |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\res                                                                 |          6 |         56 |         18 |          6 |         80 |
| android\app\src\main\res\drawable                                                        |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-night                                                  |          1 |          6 |          0 |          1 |          7 |
| android\app\src\main\res\drawable-night-v21                                              |          1 |          6 |          0 |          1 |          7 |
| android\app\src\main\res\drawable-v21                                                    |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                          |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                    |          1 |         13 |          9 |          1 |         23 |
| android\app\src\profile                                                                  |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                           |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                   |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                   |          5 |         40 |          0 |          0 |         40 |
| assets\icons                                                                             |          4 |         39 |          0 |          0 |         39 |
| assets\lottie                                                                            |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                      |          9 |        257 |          2 |         10 |        269 |
| ios (Files)                                                                              |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                               |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                       |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                               |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                     |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                          |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                    |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                      |         57 |      4,147 |         44 |        372 |      4,563 |
| lib (Files)                                                                              |          2 |        100 |         12 |          9 |        121 |
| lib\data                                                                                 |          8 |        526 |          0 |         86 |        612 |
| lib\data\models                                                                          |          2 |         94 |          0 |         14 |        108 |
| lib\data\provider                                                                        |          3 |        260 |          0 |         38 |        298 |
| lib\data\services                                                                        |          3 |        172 |          0 |         34 |        206 |
| lib\routes                                                                               |          2 |         53 |         15 |          9 |         77 |
| lib\ui                                                                                   |         40 |      3,305 |         10 |        250 |      3,565 |
